DeviceName,Dew_Point,Indoor_Humidity,Indoor_Temperature,Outdoor_Humidity,Outdoor_Temperature,Discharge_Pressure,Discharge_Temperature,kW,Power_Factor,Volts_Line_to_Line,Volts_Line_to_Neutral
store0010-RackA,53.24,47.94,73.36,,93.6,248.8,,45.1,0.71,588.2,339.5
store0010-RackA,53.22,47.94,73.36,,93.63,249.1,,33.5,0.69,589.5,340.2
store0010-RackA,53.56,47.94,73.42,,93.63,240.5,,41.8,0.69,589.0,339.8
store0010-RackA,53.06,47.94,73.42,,93.63,241.0,,36.9,0.73,590.2,340.5
store0010-RackA,53.06,47.94,73.42,,93.63,241.0,,36.7,0.71,590.0,340.4
store0010-RackA,53.06,47.81,73.51,,93.69,243.1,,37.0,0.73,590.7,340.9
store0010-RackA,53.06,47.81,73.51,,93.69,242.5,,44.2,0.7,588.6,339.7
store0010-RackA,53.26,47.81,73.51,,93.74,242.5,,45.7,0.71,588.4,339.6
store0010-RackA,53.67,48.39,73.45,,93.78,233.9,,36.4,0.72,589.5,340.1
store0010-RackA,53.38,48.39,73.45,,93.87,242.2,,46.6,0.72,588.5,339.6
store0010-RackA,53.46,48.39,73.45,,93.87,250.2,,48.4,0.73,588.6,339.7
store0010-RackA,53.42,48.21,73.45,,93.87,250.2,,47.8,0.72,587.3,338.9
store0010-RackA,53.58,48.81,73.45,,93.97,252.2,,48.8,0.73,588.4,339.6
store0010-RackA,53.58,48.81,73.45,,93.97,252.2,,48.4,0.73,588.1,339.3
store0010-RackA,53.85,48.81,73.45,,94.01,252.4,,54.3,0.74,588.8,339.7
store0010-RackA,53.74,48.59,73.45,,94.01,279.2,,60.4,0.73,586.7,338.5
store0010-RackA,54.07,48.89,73.45,,94.01,277.7,,58.8,0.72,586.1,338.2
store0010-RackA,54.07,48.71,73.45,,94.06,215.0,,45.2,0.71,588.6,339.5
store0010-RackA,54.16,48.71,73.45,,93.92,220.2,,46.8,0.72,588.6,339.5
store0010-RackA,53.96,48.71,73.56,,93.92,217.5,,36.1,0.72,588.7,339.7
store0010-RackA,53.96,48.71,73.56,,93.92,217.5,,48.6,0.73,587.3,338.8
store0010-RackA,53.83,48.71,73.65,,93.92,237.4,,48.2,0.72,588.5,339.5
store0010-RackA,53.83,49.12,73.6,,93.92,248.5,,47.0,0.72,588.4,339.5
store0010-RackA,54.0,48.34,73.6,,93.92,248.5,,47.0,0.71,589.3,340.0
store0010-RackA,53.87,48.87,73.6,,93.92,248.5,,45.8,0.71,589.5,340.1
store0010-RackA,53.87,49.17,73.6,,93.92,250.6,,47.2,0.73,587.7,339.1
store0010-RackA,53.98,48.61,73.6,,93.92,250.6,,46.7,0.71,588.8,339.7
store0010-RackA,53.98,48.61,73.6,,93.92,250.6,,36.4,0.72,589.5,340.2
store0010-RackA,54.21,48.61,73.71,,93.92,232.8,,35.8,0.72,588.9,339.8
store0010-RackA,53.92,48.61,73.71,,93.92,226.3,,44.7,0.7,588.8,339.9
store0010-RackA,54.01,48.51,73.74,,93.92,248.6,,45.3,0.7,589.7,340.3
store0010-RackA,54.01,48.51,73.74,,93.92,252.7,,45.3,0.71,588.4,339.6
store0010-RackA,54.18,48.51,73.8,,93.92,257.5,,49.6,0.73,589.6,340.3
store0010-RackA,54.18,48.51,73.8,,93.92,255.5,,50.1,0.74,588.9,339.8
store0010-RackA,54.18,48.51,73.8,,93.92,255.5,,49.2,0.73,589.3,340.1
store0010-RackA,54.27,49.19,73.8,,93.83,265.0,,50.7,0.74,589.3,340.0
store0010-RackA,54.27,49.07,73.8,,93.83,265.0,,50.2,0.73,588.7,339.7
store0010-RackA,54.28,49.07,73.8,,93.83,265.2,,48.5,0.72,589.0,339.9
store0010-RackA,54.28,49.07,73.8,,93.83,266.3,,49.4,0.73,588.8,339.7
store0010-RackA,53.89,49.07,73.89,,93.83,268.8,,48.5,0.73,587.8,339.2
store0010-RackA,53.89,49.07,73.89,,93.83,268.8,,47.1,0.72,587.7,339.1
store0010-RackA,53.94,48.69,73.89,,93.83,264.1,,47.6,0.72,588.7,339.7
store0010-RackA,54.09,48.56,73.83,,94.15,253.6,,45.9,0.71,586.9,338.7
store0010-RackA,54.09,48.56,73.83,,94.1,251.4,,46.7,0.71,588.1,339.4
store0010-RackA,54.09,48.56,73.83,,94.3,269.1,,56.4,0.76,588.3,339.5
store0010-RackA,54.46,49.37,73.83,,94.33,275.8,,49.8,0.74,588.3,339.5
store0010-RackA,54.63,49.39,73.83,,94.44,275.6,,48.7,0.72,587.8,339.2
store0010-RackA,54.63,49.39,73.83,,94.44,275.6,,48.8,0.72,588.4,339.6
store0010-RackA,54.63,49.39,73.83,,94.53,270.0,,48.4,0.73,589.0,339.9
store0010-RackA,54.63,49.39,73.94,,94.62,271.4,,47.2,0.72,589.4,340.1
store0010-RackA,54.32,49.09,74.03,,94.57,267.5,,46.0,0.71,589.4,340.2
store0010-RackA,54.12,49.09,74.03,,94.57,268.3,,47.7,0.72,589.1,340.0
store0010-RackA,54.12,49.09,74.03,,94.57,267.7,,46.8,0.72,588.3,339.5
store0010-RackA,54.12,48.31,74.03,,94.57,262.5,,51.3,0.74,589.3,340.1
store0010-RackA,54.12,48.31,74.03,,94.57,262.5,,52.0,0.75,588.2,339.3
store0010-RackA,54.12,48.31,74.03,,94.57,272.0,,46.7,0.72,588.5,339.6
store0010-RackA,53.73,48.24,74.03,,94.57,272.0,,47.1,0.72,588.8,339.7
store0010-RackA,53.73,48.24,74.03,,94.57,264.9,,46.6,0.72,588.1,339.3
store0010-RackA,53.47,47.23,74.03,,94.57,266.9,,47.2,0.72,589.1,340.0
store0010-RackA,53.62,47.73,74.03,,94.78,267.8,,45.7,0.71,589.3,340.1
store0010-RackA,53.65,47.73,74.03,,94.78,267.8,,47.1,0.72,588.6,339.7
store0010-RackA,53.65,47.73,74.03,,94.78,267.8,,46.8,0.72,588.5,339.6
store0010-RackA,53.65,47.99,74.03,,94.87,268.0,,52.4,0.75,588.0,339.3
store0010-RackA,53.82,47.99,74.03,,94.87,269.2,,52.0,0.75,588.6,339.6
store0010-RackA,52.9,47.11,74.03,,94.93,272.5,,49.4,0.73,588.5,339.6
store0010-RackA,53.64,48.01,74.03,,94.96,272.5,,50.2,0.74,588.1,339.4
store0010-RackA,53.56,47.43,74.03,,94.96,272.5,,48.7,0.72,589.3,340.1
store0010-RackA,53.56,47.43,74.03,,94.96,266.1,,51.9,0.74,588.4,339.5
store0010-RackA,53.56,47.76,73.98,,95.02,266.1,,54.6,0.74,588.9,339.8
store0010-RackA,53.35,47.76,73.98,,95.02,266.1,,54.5,0.75,588.4,339.6
store0010-RackA,53.08,47.26,73.98,,95.05,276.3,,63.6,0.74,586.7,338.5
store0010-RackA,53.38,47.16,73.98,,95.05,279.1,,63.7,0.73,587.4,338.9
store0010-RackA,53.33,47.68,73.98,,95.05,280.2,,55.2,0.7,587.9,339.2
store0010-RackA,53.2,46.66,73.98,,95.05,268.6,,48.3,0.72,588.0,339.3
store0010-RackA,53.2,46.66,73.98,,95.05,268.6,,54.2,0.75,587.7,339.1
store0010-RackA,52.79,46.45,73.98,,94.82,271.7,,62.5,0.73,588.1,339.3
store0010-RackA,51.94,45.37,73.98,,94.73,281.0,,62.8,0.73,587.9,339.1
store0010-RackA,52.36,46.43,73.98,,94.69,234.9,,55.4,0.7,587.1,338.7
store0010-RackA,53.26,47.13,73.98,,94.69,227.2,,55.5,0.7,588.2,339.4
store0010-RackA,52.88,46.48,73.98,,94.69,232.7,,48.4,0.73,587.9,339.2
store0010-RackA,53.19,46.73,73.98,,94.69,236.9,,51.1,0.74,587.9,339.2
store0010-RackA,53.19,46.73,73.98,,94.69,236.9,,39.0,0.73,589.2,340.0
store0010-RackA,53.22,46.73,73.98,,94.69,238.0,,39.0,0.73,589.2,339.9
store0010-RackA,52.99,46.63,73.98,,94.69,246.1,,57.3,0.71,588.8,339.7
store0010-RackA,52.99,46.63,73.98,,94.69,258.4,,56.5,0.71,587.9,339.2
store0010-RackA,53.44,46.63,73.98,,94.69,257.7,,50.5,0.74,588.6,339.7
store0010-RackA,53.55,46.63,73.98,,94.69,256.9,,49.5,0.73,587.8,339.2
store0010-RackA,53.55,47.21,73.98,,94.69,254.5,,48.9,0.72,589.7,340.2
store0010-RackA,53.55,47.21,73.98,,94.69,254.5,,56.9,0.71,588.2,339.4
store0010-RackA,53.49,47.41,73.98,,94.69,253.1,,55.1,0.7,587.3,338.8
store0010-RackA,53.78,47.91,73.98,,94.69,237.5,,49.9,0.74,588.5,339.6
store0010-RackA,53.78,47.53,73.98,,94.69,245.2,,35.3,0.72,590.2,340.6
store0010-RackA,53.78,47.53,73.98,,94.69,239.1,,42.6,0.69,588.6,339.6
store0010-RackA,53.78,47.53,73.98,,94.69,240.3,,39.8,0.67,589.6,340.2
store0010-RackA,53.4,47.53,73.98,,94.69,237.7,,21.5,0.67,591.9,341.6
store0010-RackA,53.4,47.53,73.98,,94.69,237.7,,27.1,0.73,591.1,341.1
store0010-RackA,53.4,47.53,73.8,,94.69,236.7,,45.3,0.71,589.1,340.0
store0010-RackA,53.4,46.93,73.8,,94.69,242.0,,56.5,0.71,586.8,338.6
store0010-RackA,53.28,46.93,73.8,,94.69,235.2,,39.5,0.74,589.1,340.0
store0010-RackA,53.28,46.93,73.74,,94.39,238.3,,38.8,0.74,590.1,340.5
store0010-RackA,52.95,46.76,73.74,,94.39,241.1,,46.3,0.71,588.8,339.7
store0010-RackA,52.95,46.76,73.74,,94.24,241.7,,37.6,0.72,590.1,340.5
store0010-RackA,52.95,46.76,73.74,,94.24,241.7,,38.4,0.73,589.5,340.2
store0010-RackA,52.95,46.76,73.89,,94.15,241.9,,47.8,0.72,589.0,339.9
store0010-RackA,53.42,46.76,73.83,,93.97,252.2,,63.7,0.74,587.6,339.1
store0010-RackA,53.42,46.76,73.83,,93.92,272.8,,51.7,0.73,588.8,339.8
store0010-RackA,53.42,46.76,73.83,,93.83,266.4,,51.1,0.73,588.2,339.4
store0010-RackA,53.42,46.76,73.83,,93.69,225.0,,55.1,0.69,588.6,339.6
store0010-RackA,53.42,46.76,73.83,,93.69,234.2,,56.1,0.7,588.5,339.5
store0010-RackA,53.42,47.71,73.83,,93.51,234.2,,48.7,0.72,589.3,340.0
store0010-RackA,53.42,47.71,73.94,,93.45,236.6,,50.1,0.73,588.6,339.6
store0010-RackA,53.58,47.71,73.94,,93.13,250.5,,59.2,0.72,588.0,339.3
store0010-RackA,53.58,47.71,73.94,,92.98,256.6,,40.3,0.66,589.6,340.3
store0010-RackA,53.58,47.71,73.94,,92.89,238.9,,39.5,0.73,591.7,341.4
store0010-RackA,53.13,46.91,73.94,,92.66,246.3,,48.1,0.72,589.9,340.4
store0010-RackA,53.13,46.91,73.94,,92.66,246.3,,48.2,0.72,590.8,340.9
store0010-RackA,53.13,46.91,73.94,,92.52,250.2,,48.0,0.71,591.2,341.1
store0010-RackA,53.1,46.91,73.94,,92.34,249.4,,47.8,0.71,591.6,341.4
store0010-RackA,52.77,46.91,73.94,,92.05,238.1,,48.8,0.72,589.9,340.4
store0010-RackA,52.77,46.91,73.94,,91.76,247.2,,39.6,0.73,592.2,341.7
store0010-RackA,52.77,46.91,73.94,,91.58,244.7,,45.9,0.7,590.4,340.8
store0010-RackA,52.77,46.91,73.94,,91.4,237.8,,46.2,0.7,590.4,340.7
store0010-RackA,52.77,46.91,73.94,,91.4,237.8,,51.9,0.73,591.9,341.6
store0010-RackA,52.77,46.38,73.94,,91.2,256.0,,60.0,0.72,589.4,340.0
store0010-RackA,52.86,46.38,73.94,,91.02,257.5,,57.6,0.7,589.8,340.3
store0010-RackA,52.86,47.11,73.94,,90.64,259.4,,59.3,0.71,589.5,340.1
store0010-RackA,53.37,47.11,73.94,,90.36,259.4,,49.9,0.73,591.0,341.0
store0010-RackA,53.37,47.11,73.94,,90.18,251.7,,51.5,0.73,591.7,341.3
store0010-RackA,53.37,47.11,73.98,,90.09,252.5,,50.3,0.73,590.9,341.0
store0010-RackA,53.37,47.11,73.98,,90.09,252.5,,57.1,0.7,590.3,340.7
store0010-RackA,53.37,47.11,73.98,,89.85,253.9,,57.2,0.7,591.6,341.4
store0010-RackA,53.6,47.11,73.98,,89.65,251.1,,50.4,0.73,592.0,341.6
store0010-RackA,53.17,47.11,73.98,,89.33,262.8,,61.4,0.73,590.5,340.7
store0010-RackA,53.17,47.11,73.98,,89.15,269.6,,61.7,0.72,590.2,340.5
store0010-RackA,53.31,47.11,73.98,,89.01,267.4,,58.3,0.7,590.8,340.9
store0010-RackA,52.57,46.15,73.98,,88.83,264.9,,60.2,0.72,592.5,341.8
store0010-RackA,52.57,46.15,73.98,,88.83,264.9,,59.4,0.71,590.8,340.9
store0010-RackA,52.57,45.98,73.98,,88.7,266.3,,59.8,0.71,590.6,340.8
store0010-RackA,53.29,47.13,73.98,,88.57,263.6,,52.7,0.74,592.7,342.0
store0010-RackA,53.33,47.13,73.98,,88.34,262.5,,52.2,0.73,591.5,341.3
store0010-RackA,53.33,47.23,73.98,,88.05,244.5,,60.2,0.71,591.5,341.2
store0010-RackA,53.33,47.23,73.98,,87.87,252.1,,60.3,0.72,591.0,341.1
store0010-RackA,53.33,47.23,73.98,,87.87,252.1,,52.9,0.75,587.9,339.3
store0010-RackA,53.33,47.23,73.98,,87.78,252.1,,53.0,0.74,588.4,339.6
store0010-RackA,52.88,46.43,73.98,,87.55,252.7,,52.5,0.73,589.2,340.0
store0010-RackA,52.54,45.95,73.98,,87.44,256.1,,61.3,0.73,587.5,339.0
store0010-RackA,52.83,46.48,73.98,,87.35,261.4,,60.5,0.72,587.9,339.2
store0010-RackA,52.79,46.48,73.98,,87.08,266.6,,51.1,0.73,589.6,340.2
store0010-RackA,52.45,46.35,73.98,,86.99,261.1,,52.0,0.74,588.4,339.5
store0010-RackA,52.45,46.35,73.98,,86.99,261.1,,51.6,0.74,589.1,340.0
store0010-RackA,52.5,45.85,73.98,,86.79,261.1,,50.6,0.73,589.9,340.4
store0010-RackA,52.74,46.18,73.98,,86.7,257.8,,58.5,0.71,588.0,339.3
store0010-RackA,52.68,46.4,73.98,,86.52,267.0,,58.5,0.71,589.9,340.4
store0010-RackA,52.59,46.33,73.98,,86.47,263.5,,50.9,0.73,590.6,340.8
store0010-RackA,53.02,45.88,73.98,,86.23,259.2,,51.3,0.73,590.0,340.4
store0010-RackA,53.02,45.88,73.98,,86.14,258.3,,50.8,0.73,590.2,340.5
store0010-RackA,53.02,45.88,73.98,,86.14,258.3,,50.5,0.73,591.0,341.1
store0010-RackA,53.02,46.68,73.98,,86.0,256.9,,50.3,0.73,591.1,341.1
store0010-RackA,53.04,46.73,73.98,,85.86,255.8,,50.0,0.72,591.2,341.2
store0010-RackA,52.72,46.73,73.71,,85.82,255.8,,58.2,0.71,590.2,340.6
store0010-RackA,52.72,46.93,73.65,,85.73,258.0,,58.6,0.71,590.0,340.4
store0010-RackA,52.72,46.93,73.56,,85.59,258.0,,50.5,0.73,591.3,341.2
store0010-RackA,52.02,45.37,73.6,,85.5,258.0,,50.2,0.72,591.4,341.2
store0010-RackA,52.02,45.37,73.6,,85.5,258.0,,49.8,0.73,589.9,340.3
store0010-RackA,52.29,45.9,73.6,,85.41,254.7,,50.1,0.73,590.2,340.6
store0010-RackA,52.48,45.9,73.6,,85.35,254.2,,50.7,0.73,591.3,341.2
store0010-RackA,52.23,45.9,73.6,,85.26,253.1,,50.7,0.73,591.9,341.5
store0010-RackA,52.52,45.9,73.45,,85.21,253.0,,49.5,0.73,592.0,341.6
store0010-RackA,52.52,46.13,73.45,,85.06,253.0,,49.5,0.73,592.6,341.9
store0010-RackA,52.18,45.58,73.45,,85.03,253.0,,51.1,0.73,592.4,341.8
store0010-RackA,52.18,45.58,73.45,,85.03,253.0,,49.6,0.72,592.3,341.7
store0010-RackA,52.63,45.58,73.51,,84.94,253.0,,49.6,0.72,592.2,341.8
store0010-RackA,51.89,45.55,73.51,,84.88,253.0,,51.1,0.73,591.8,341.6
store0010-RackA,52.56,46.63,73.51,,84.83,253.0,,50.3,0.72,592.7,341.9
store0010-RackA,51.93,46.63,73.42,,84.74,252.8,,50.5,0.73,593.1,342.1
store0010-RackA,51.91,46.63,73.42,,84.65,255.0,,55.8,0.69,593.5,342.5
store0010-RackA,51.91,46.63,73.42,,84.65,255.0,,55.9,0.69,592.8,342.0
store0010-RackA,51.98,44.77,73.42,,84.6,255.0,,50.0,0.73,593.9,342.7
store0010-RackA,52.11,44.77,73.42,,84.56,255.0,,49.2,0.71,593.0,342.1
store0010-RackA,52.34,44.77,73.42,,84.56,255.0,,49.9,0.72,594.5,343.0
store0010-RackA,52.34,46.23,73.42,,84.51,252.4,,48.9,0.71,593.9,342.6
store0010-RackA,52.12,46.23,73.42,,84.38,252.4,,49.2,0.71,593.5,342.4
store0010-RackA,52.03,46.23,73.42,,84.24,248.0,,48.9,0.72,594.3,342.9
store0010-RackA,52.03,46.38,73.42,,84.24,248.0,,48.7,0.72,595.4,343.6
store0010-RackA,52.09,46.38,73.36,,83.91,243.0,,48.8,0.72,593.9,342.7
store0010-RackA,52.09,46.38,73.36,,83.62,242.0,,48.3,0.71,594.5,343.0
store0010-RackA,52.09,46.38,73.36,,83.21,239.7,,48.7,0.71,595.0,343.3
store0010-RackA,52.32,46.25,73.36,,82.81,239.7,,49.0,0.72,595.5,343.7
store0010-RackA,52.3,46.25,73.33,,82.4,239.7,,48.2,0.71,594.3,343.0
store0010-RackA,52.3,46.25,73.33,,81.59,240.2,,47.9,0.71,594.6,343.1
store0010-RackA,52.3,46.25,73.33,,81.59,240.2,,48.5,0.71,594.6,343.1
store0010-RackA,51.55,45.25,73.33,,81.07,239.2,,48.5,0.72,594.1,342.8
store0010-RackA,51.55,45.25,73.27,,80.56,241.6,,49.1,0.71,594.8,343.2
store0010-RackA,51.75,45.25,73.27,,80.08,240.3,,48.5,0.71,595.3,343.5
store0010-RackA,51.75,45.25,73.27,,79.66,239.1,,47.6,0.71,596.0,343.9
store0010-RackA,51.75,45.25,73.27,,79.29,235.6,,48.3,0.71,595.8,343.7
store0010-RackA,51.75,45.3,73.27,,78.39,233.0,,47.5,0.71,592.9,342.1
store0010-RackA,51.75,45.3,73.27,,78.39,233.0,,48.8,0.72,594.1,342.8
store0010-RackA,51.62,45.27,73.27,,77.97,236.9,,48.7,0.72,593.5,342.5
store0010-RackA,51.44,45.75,73.27,,77.45,236.9,,49.2,0.72,593.6,342.5
store0010-RackA,52.14,45.75,73.22,,77.11,218.3,,49.0,0.72,594.7,343.2
store0010-RackA,52.14,45.75,73.18,,76.77,224.1,,50.3,0.72,595.4,343.5
store0010-RackA,51.42,45.47,73.18,,76.53,229.2,,50.6,0.73,595.0,343.3
store0010-RackA,51.04,44.19,73.18,,76.24,234.2,,48.9,0.71,596.8,344.4
store0010-RackA,51.04,44.19,73.18,,76.24,234.2,,50.3,0.72,596.0,343.9
store0010-RackA,51.19,44.7,73.18,,75.81,235.5,,49.2,0.72,596.2,344.1
store0010-RackA,50.67,44.09,73.13,,75.69,241.9,,49.6,0.71,596.5,344.2
store0010-RackA,50.65,44.22,73.09,,75.49,241.9,,48.0,0.71,597.0,344.4
store0010-RackA,50.4,43.59,73.04,,75.34,238.6,,49.0,0.71,596.6,344.3
store0010-RackA,51.03,43.69,73.04,,75.16,238.1,,48.3,0.71,597.0,344.4
store0010-RackA,51.03,43.69,73.04,,75.16,244.5,,49.6,0.72,595.9,343.9
store0010-RackA,50.97,44.37,72.99,,75.07,244.5,,48.1,0.7,596.4,344.1
store0010-RackA,50.7,44.37,72.99,,74.88,244.5,,48.3,0.7,597.7,344.8
store0010-RackA,51.06,44.97,72.9,,74.88,244.5,,49.7,0.72,596.5,344.1
store0010-RackA,51.49,44.97,72.95,,74.79,242.4,,49.2,0.71,597.8,344.8
store0010-RackA,50.68,43.89,72.95,,74.79,241.4,,49.3,0.71,595.6,343.6
store0010-RackA,50.85,44.47,72.95,,74.79,241.4,,48.0,0.71,595.7,343.7
store0010-RackA,50.85,44.47,72.95,,74.79,241.4,,49.0,0.71,596.5,344.2
store0010-RackA,50.77,44.8,72.75,,74.82,242.2,,47.5,0.71,596.1,344.0
store0010-RackA,50.13,44.8,72.84,,74.82,242.2,,47.8,0.7,596.4,344.0
store0010-RackA,50.5,43.84,72.84,,74.82,242.2,,48.3,0.71,596.5,344.2
store0010-RackA,50.56,43.84,72.81,,74.82,242.2,,50.1,0.72,595.1,343.4
store0010-RackA,50.61,43.84,72.81,,74.82,238.9,,48.1,0.71,596.3,344.1
store0010-RackA,50.07,43.84,72.72,,74.82,238.5,,47.7,0.7,596.7,344.3
store0010-RackA,50.07,43.84,72.72,,74.82,238.5,,47.5,0.71,596.0,343.9
store0010-RackA,50.18,43.84,72.72,,74.93,238.3,,47.8,0.7,597.5,344.8
